ID,LTV,CLTV,Orig_Bal,Orig_Term,Orig_Rate,State,FICO,Occupancy,Type
3244,90,90,131490,360,6.99,NY,694,OO,ARM
3245,100,100,87800,360,9.1,MI,643,OO,ARM
3246,90,90,269550,480,8.55,OR,644,IO,ARM
3247,80,100,101520,360,9,IL,651,OO,ARM
3248,80,100,204000,360,7.637,LA,641,OO,ARM
3249,56.91,56.91,70000,360,8.1,MI,526,OO,Fix
3250,80,100,408000,360,6.75,CA,687,OO,ARM
3251,72.23,72.23,359000,360,7.25,MD,532,OO,ARM
3252,78.52,78.52,169600,360,7.25,FL,657,OO,ARM
3253,90,90,225000,480,8.25,NV,649,SH,ARM
3254,95,95,228000,360,7.95,AZ,631,OO,ARM
3255,79.97,99.91,535000,360,7.05,CA,605,OO,ARM
3256,92.31,92.31,288000,360,7.6,IL,675,OO,ARM
3257,80,100,440000,360,8.3,CA,613,OO,ARM
3258,80,100,188000,360,7.95,CA,629,OO,ARM
3259,90,90,324000,360,8.9,WA,602,OO,ARM
3260,80,80,168000,480,7.55,PA,610,OO,Fix
3261,20,100,35600,360,12.1,MI,602,OO,Fix
3262,95,95,152000,360,8.05,AZ,619,OO,ARM
3263,20,100,31000,360,9.75,TX,651,OO,Fix
3264,80,100,356000,360,7.8,CA,600,OO,ARM
3265,80,100,162400,360,8.45,UT,674,OO,ARM
3266,75,75,70500,360,9.3,PA,503,OO,ARM
3267,90,90,75600,360,11,IN,632,IO,ARM
3268,80,100,250704,480,7.85,CA,621,OO,ARM
3269,80,100,488000,360,7.85,CA,620,OO,ARM
3270,80,100,205600,480,9.15,CA,702,OO,ARM
3271,79.68,79.68,154250,360,9.65,NJ,573,OO,ARM
3272,90,90,124348,360,8.4,AL,653,OO,Fix
3273,80,80,284000,480,8.75,FL,537,OO,ARM
3274,80,100,228000,480,7.15,FL,606,OO,ARM
3275,85,85,130050,360,9.41,TX,589,OO,ARM
3276,89.98,89.98,256450,480,8.65,OR,546,OO,ARM
3277,69.55,69.55,66000,360,9.75,MO,514,OO,ARM
3278,85,85,145690,360,6.99,AZ,682,OO,Fix
3279,80,100,420000,360,9,CA,643,OO,ARM
3280,80,100,219920,480,8,OR,672,OO,ARM
3281,89.97,89.97,287000,360,6.99,PA,740,OO,Fix
3282,87.14,87.14,195000,360,7.625,PA,680,OO,Fix
3283,52.24,52.24,212300,360,6.875,NY,677,OO,Fix
3284,95,95,151525,360,7.7,MO,701,IO,ARM
3285,90,90,75510,360,9.5,LA,564,OO,ARM
3286,87.15,87.15,400000,360,9,MI,520,OO,ARM
3287,90,90,373803,360,7.7,FL,650,OO,ARM
