ID,LTV,CLTV,Orig_Bal,Orig_Term,Orig_Rate,State,FICO,Occupancy,Type
1,80,100,375200,360,8.5,CA,624,OO,ARM
2,80,100,380000,480,6.99,NY,648,OO,ARM
3,90,90,61200,360,8.75,IN,630,IO,Fix
4,20,100,52000,360,11.9,IL,616,OO,Fix
5,80,100,156000,360,8.3,IL,690,OO,ARM
6,89.32,89.32,236700,480,8.98,FL,557,OO,ARM
7,75,75,300000,360,10.05,WA,532,OO,ARM
8,79.31,79.31,115000,360,8.99,NJ,540,OO,ARM
9,80,100,236000,480,7.6,FL,627,OO,ARM
10,85.48,85.48,530000,360,6.2,CA,704,OO,Fix
11,100,100,125000,480,8.75,MD,641,OO,ARM
12,80,80,101600,360,8.5,TX,582,OO,Fix
13,80,100,300000,360,7.45,MN,633,OO,ARM
14,73.86,73.86,243750,360,9.375,FL,511,OO,ARM
15,95,95,104500,360,9.2,IN,622,IO,ARM
16,90,90,229500,360,8.55,IL,531,OO,ARM
17,90,90,103500,240,7.99,OH,628,OO,Fix
18,95,95,617500,360,9.75,CA,633,OO,ARM
19,42.9,42.9,148000,360,8.65,CA,548,OO,ARM
20,70,70,150500,360,9.45,FL,538,OO,ARM
21,20,100,115000,360,11.7,HI,613,OO,Fix
22,88.42,93.42,50400,360,8.5,LA,706,IO,ARM
23,90,90,355500,480,7.99,CA,659,OO,ARM
24,78.87,78.87,76500,360,8.95,LA,623,IO,ARM
25,80,100,432000,360,7.5,CT,663,OO,ARM
26,90,90,157500,360,8.25,IL,607,OO,ARM
27,79.73,99.73,209200,480,8.2,CA,603,OO,ARM
28,90,90,220500,360,7.25,FL,631,OO,ARM
29,88.1,88.1,185000,480,8.5,NJ,660,OO,ARM
30,75,75,193500,360,10.4,AZ,515,OO,ARM
31,80,100,280000,360,7.75,CA,602,OO,ARM
32,80,80,97200,360,8.35,TX,557,OO,Fix
33,82.05,82.05,80000,360,7.2,MD,750,IO,Fix
34,80,100,180000,360,7.85,CT,643,OO,ARM
35,90,90,274500,360,9.6,TX,764,IO,ARM
36,75,75,154500,360,8.99,IL,524,OO,ARM
37,90,100,94500,360,10.05,TX,569,OO,ARM
38,80,100,488000,360,6.75,CA,628,OO,ARM
39,85,85,106675,480,8.3,FL,540,OO,ARM
40,85,85,409080,360,9,FL,510,OO,ARM
41,64.71,64.71,110000,360,8.25,AZ,549,OO,ARM
42,90,90,337500,360,8.5,CA,692,OO,ARM
43,90,90,139500,360,9.65,MD,641,IO,ARM
44,77.7,77.7,115000,360,12.35,MI,518,OO,ARM
45,75,75,296250,360,9.5,FL,558,OO,ARM
46,95,95,185250,360,6.8,FL,607,OO,Fix
47,80,100,311200,480,7.15,NY,656,OO,ARM
48,90,90,214200,480,8.99,PA,556,OO,Fix
49,90,100,158400,360,9.25,WI,643,IO,ARM
50,80,100,145600,360,7.8,IL,606,OO,ARM
51,90,90,126900,360,8.9,FL,603,OO,ARM
52,84.87,84.87,314000,360,7.25,RI,680,OO,Fix
53,80,100,274152,360,7.85,CA,638,OO,ARM
54,89.05,89.05,84600,360,7.65,OH,657,OO,Fix
55,90,90,585000,480,8.8,CA,658,OO,ARM
56,90,100,118800,360,9.05,MI,553,OO,Fix
57,90,90,436500,360,6.99,CA,619,OO,ARM
58,80,100,262032,360,7.5,NY,647,OO,ARM
59,90,90,247500,360,10,IL,619,IO,ARM
60,85,85,225250,360,7.25,NJ,687,OO,Fix
61,95,95,128250,480,8.49,CT,568,OO,Fix
62,77.15,77.15,260000,360,8.4,MD,565,OO,ARM
63,20,100,45000,360,11.65,FL,627,OO,Fix
64,90,100,50400,360,8.99,TX,667,IO,ARM
65,85,100,76500,360,8.35,OH,524,OO,Fix
66,20,100,47000,360,11.99,FL,604,OO,Fix
67,90,90,240300,360,9.5,IL,621,IO,ARM
68,90,90,169200,360,10.45,MD,603,IO,ARM
69,95,95,380000,360,7.8,NY,718,SH,ARM
70,80,100,440000,480,8.45,CA,661,OO,ARM
71,92.21,92.21,172437,360,9.1,IL,587,OO,ARM
72,80,100,95920,360,8.3,OH,536,OO,Fix
73,80,100,232000,360,6.85,FL,665,OO,ARM
74,80,80,368000,360,8.9,CA,554,OO,ARM
75,80,100,684000,360,7,NY,768,OO,ARM
76,57.31,57.31,192000,480,6.99,IL,587,OO,Fix
77,84.99,84.99,450000,360,7.99,CA,609,OO,ARM
78,90,90,296991,480,8.99,FL,557,OO,ARM
79,90,100,57510,360,10.45,MI,552,OO,ARM
80,69.05,69.05,255500,360,11.65,CA,547,OO,ARM
81,95,95,66500,360,9.275,IN,633,OO,Fix
82,95,95,212800,480,7.8,CA,748,OO,ARM
83,90,90,131400,480,8.65,OH,613,OO,ARM
84,92.83,92.83,207000,360,7.85,MD,605,OO,ARM
85,80,100,268000,480,6.99,CO,618,OO,ARM
86,90,90,380610,480,9.99,CA,598,OO,ARM
87,95,95,142500,480,11.5,TX,606,OO,Fix
88,80,100,195992,360,8.25,FL,645,OO,ARM
89,80,100,560000,360,6.65,CA,649,OO,ARM
90,85,85,61200,360,9.15,TX,597,OO,Fix
91,90,90,427500,480,8.85,AZ,693,IO,ARM
92,81.63,81.63,200000,480,8.35,AZ,577,OO,ARM
93,83.11,83.11,374000,360,7.25,IL,631,OO,ARM
94,90,90,279801,360,10.487,TX,552,OO,ARM
95,95,95,161500,360,7.75,OH,754,OO,Fix
96,80,100,508000,480,7.9,CA,629,OO,ARM
97,45,45,315000,360,8,NJ,569,OO,ARM
98,20,100,57000,360,11.75,NV,643,OO,Fix
99,85,85,87550,360,10.5,PA,556,IO,ARM
100,84.02,84.02,122000,300,10.1,MS,560,OO,Fix
101,80,100,500000,480,7.75,CA,660,OO,ARM
102,89.24,89.24,340000,360,6.55,OH,662,OO,ARM
103,80,100,109600,360,7.35,KS,637,OO,ARM
104,94.81,94.81,251250,360,7.8,AZ,635,OO,ARM
105,80,100,242400,360,9.075,RI,643,OO,ARM
106,80,100,159200,360,8.05,AZ,600,OO,ARM
107,80,100,260000,480,7.65,CA,719,OO,ARM
108,20,100,76000,360,12.45,WA,621,OO,Fix
109,75,75,93750,360,10.3,MO,546,OO,Fix
110,88.53,88.53,165100,360,8.9,NC,579,OO,Fix
111,90,90,112500,360,9.7,PA,548,OO,Fix
112,89.68,89.68,116150,360,7.25,PA,695,OO,Fix
113,90,90,387000,360,8.99,NY,534,OO,ARM
114,79.1,79.1,395500,480,7,NJ,581,OO,ARM
115,75.67,75.67,454000,360,6.85,NJ,589,OO,Fix
116,80,80,136000,360,7.95,PA,617,OO,Fix
117,90,100,101700,360,9.3,TX,612,OO,ARM
118,80,100,543440,360,6.8,FL,640,OO,ARM
119,85,85,119000,360,8.9,AL,531,OO,ARM
120,95,95,228000,360,7.8,FL,719,OO,ARM
121,85,85,301750,360,9.45,CA,560,OO,ARM
122,95,95,211850,480,9.5,IL,582,OO,ARM
123,89.93,89.93,164700,360,8,WY,520,OO,ARM
124,90,90,477000,360,8.8,FL,534,OO,ARM
125,90,90,157500,360,10.2,FL,666,OO,Fix
126,75,75,412500,360,9.2,HI,547,OO,ARM
127,80,80,168000,360,7.99,PA,588,OO,ARM
128,55.94,55.94,565000,480,7.3,CA,538,OO,ARM
129,80,100,290320,360,6.95,UT,663,OO,ARM
130,88.76,88.76,395000,360,7.65,CA,625,OO,ARM
131,80,100,242944,480,8.55,NJ,645,OO,ARM
132,90,90,88200,360,8.99,TN,623,IO,Fix
133,80,80,64000,360,7.75,FL,712,IO,ARM
134,90,90,112500,360,10.3,PA,516,OO,ARM
135,95,95,316350,360,10.65,RI,638,IO,ARM
136,90,90,229500,360,10,TN,511,OO,ARM
137,90,90,120600,360,7.99,OH,585,OO,ARM
138,50,50,135000,480,7.5,CA,715,OO,ARM
139,80,100,220000,360,8.3,IL,649,OO,ARM
140,100,100,165000,360,10.85,SC,628,OO,ARM
141,90,90,216000,360,8.99,IL,698,IO,ARM
142,80,80,273600,480,6.85,CA,570,OO,ARM
143,80,100,300000,360,7.99,CA,631,OO,ARM
144,80,100,140000,360,7.5,FL,684,OO,ARM
145,95,95,72200,360,8.49,TX,595,OO,Fix
146,90,90,232200,360,9.99,IL,559,OO,ARM
147,80,100,116000,360,7.99,FL,635,OO,ARM
148,89.51,89.51,145000,360,10.55,PA,502,OO,Fix
149,70,70,176610,360,12.65,AZ,568,OO,ARM
150,80,80,800000,360,7.9,MD,534,OO,ARM
151,90,90,67410,360,11.1,IN,538,OO,ARM
152,90,90,132300,360,9.3,FL,514,OO,ARM
153,21.92,21.92,160000,360,8.7,CA,564,OO,Fix
154,85,85,182750,360,9.5,IL,633,OO,ARM
155,84.38,84.38,67500,360,9.75,MI,541,OO,ARM
156,75,75,105000,360,9.25,NC,533,OO,ARM
157,89.62,89.62,211500,480,8.8,FL,587,OO,ARM
158,75,100,113550,360,9.75,UT,530,OO,ARM
159,80,100,184000,360,7.65,WI,602,OO,ARM
160,85,100,59500,360,8.2,TX,546,OO,ARM
161,76.92,76.92,50000,360,9.237,OH,529,OO,Fix
162,17.39,17.39,60000,360,10.25,MA,527,OO,ARM
163,58.7,58.7,135000,480,7.75,MD,609,OO,Fix
164,90,100,139500,360,11.1,KY,560,OO,Fix
165,83.15,83.15,157988,360,7.125,LA,690,OO,ARM
166,89.99,89.99,161900,360,8.95,CO,635,IO,ARM
167,95,100,55100,360,10.55,IA,748,OO,ARM
168,80,100,528000,360,8.25,CA,651,OO,ARM
169,80,100,287200,480,8.95,NJ,652,OO,ARM
170,74.42,74.42,320000,360,9.2,NY,547,OO,ARM
171,69,69,137300,360,9.35,AZ,533,IO,ARM
172,95,95,264100,360,7.5,MN,616,OO,Fix
173,86.02,86.02,80000,360,7.5,IA,644,OO,Fix
174,77.27,77.27,850000,360,8.8,NJ,574,OO,ARM
175,95,95,228000,360,9.25,WI,526,OO,ARM
176,85,99.9,80983,360,9.25,WI,713,OO,Fix
177,94.67,94.67,231000,360,9.65,IL,625,OO,ARM
178,80.59,80.59,54800,360,10.75,MS,510,OO,ARM
179,69.22,69.22,470000,360,8.5,NJ,562,OO,ARM
180,81.86,81.86,352000,480,7.65,NY,630,OO,ARM
181,90,90,198000,360,7.75,NM,577,OO,ARM
182,95,95,131955,360,8.75,TX,630,OO,Fix
183,28.79,28.79,178500,360,9.5,NY,517,OO,ARM
184,85,85,276250,360,7.75,FL,606,OO,ARM
185,57.14,57.14,120000,480,7.15,FL,647,OO,Fix
186,90,90,133200,360,8,OH,563,OO,Fix
187,80,100,518400,480,7.75,CA,723,OO,ARM
188,80,100,159200,480,7.85,FL,684,OO,ARM
189,20,100,73980,360,11.35,MD,614,OO,Fix
190,85,85,110500,360,9.05,MN,565,OO,ARM
191,79.37,79.37,499999,360,7.2,AZ,604,OO,ARM
192,80,100,104800,360,9.85,WI,522,OO,ARM
193,85,95,68000,360,9.65,KS,535,OO,ARM
194,90,90,275580,360,7.75,NY,698,IO,Fix
195,80,80,69600,360,9.99,IA,577,OO,ARM
196,73.95,73.95,299500,360,8.975,MD,508,OO,ARM
197,80,100,304000,480,8.887,NJ,648,OO,ARM
198,89.97,89.97,94000,360,7.5,SD,764,OO,Fix
199,90,90,102150,360,8.4,MI,599,OO,ARM
200,90,90,68850,360,10,IN,556,OO,ARM
201,80,100,344000,360,7.05,CA,611,OO,ARM
202,95,95,331550,480,8.6,WA,570,OO,ARM
203,80,100,160000,360,7.4,FL,640,OO,ARM
204,90,90,185760,360,9.1,CA,582,OO,ARM
205,90,90,262388,360,7.75,NY,705,IO,Fix
206,65.31,65.31,160000,360,7.99,LA,594,OO,Fix
207,85,85,148750,360,10.65,PA,510,OO,ARM
208,90.27,90.27,297900,360,8,FL,617,OO,Fix
209,80,100,360000,480,8.05,NY,656,OO,ARM
210,90,90,211500,360,9.085,IL,547,OO,ARM
211,95,95,85500,360,10.6,MI,637,OO,ARM
212,75,75,63750,360,10.6,IL,554,OO,ARM
213,80,100,188000,480,7.99,FL,604,OO,Fix
214,89.79,89.79,87100,360,8.85,LA,617,IO,ARM
215,90,100,135000,360,11.1,KY,531,OO,ARM
216,88,88,118800,480,10.775,IL,618,IO,ARM
217,80,100,65920,360,9.175,MI,536,OO,ARM
218,80,100,344000,360,7.5,CA,630,OO,ARM
219,100,100,90000,360,10.1,TX,619,OO,Fix
220,75,75,97500,360,8.5,MA,526,OO,ARM
221,90,90,765000,360,7.65,HI,678,OO,Fix
222,90,90,315900,480,9.5,MD,555,OO,ARM
223,80,100,217600,480,7.15,FL,606,OO,ARM
224,80,100,99440,360,8.7,OK,608,OO,ARM
225,90,90,61200,360,9.5,TN,644,IO,Fix
226,88.16,88.16,335000,360,8.25,NY,557,OO,ARM
227,84.03,84.03,242000,480,7.05,FL,652,OO,ARM
228,90,96.01,89995,360,10.7,TX,593,OO,Fix
229,80,80,272000,360,7.5,MD,586,OO,ARM
230,85,85,54825,360,8.2,MI,631,OO,Fix
231,82.25,82.25,190000,480,8.5,IL,652,OO,ARM
232,90,100,490500,360,10.25,CA,508,OO,ARM
233,70,100,108500,480,7.24,CO,714,IO,ARM
234,20,100,36000,360,12.9,FL,634,OO,Fix
235,80,100,560000,360,7.7,CA,651,OO,ARM
236,95,95,87400,360,9.3,PA,662,OO,Fix
237,75,75,243750,360,8.45,CA,516,OO,ARM
238,80,80,266400,360,8.1,WA,523,OO,ARM
239,90,90,481500,360,7.99,CA,604,OO,ARM
240,80,80,86000,360,9.5,MO,508,OO,ARM
241,95,95,299093,360,9.25,UT,670,IO,ARM
242,85,85,65790,360,10.2,LA,623,OO,Fix
243,85,85,99025,360,7.6,WA,591,OO,Fix
244,80,100,600000,360,7.99,CA,740,OO,ARM
245,89.97,89.97,489000,360,7.5,CA,709,OO,Fix
246,80,100,624000,480,8.125,CA,645,OO,ARM
247,80,100,439920,480,7.7,CA,710,OO,ARM
248,80,100,108000,360,7.1,NV,655,OO,ARM
249,95,95,143450,360,9.99,NM,607,OO,ARM
250,80,100,206000,480,7.55,CO,603,OO,ARM
251,80,100,292000,360,7.65,FL,753,OO,ARM
252,80,100,268000,360,6.15,CA,657,OO,ARM
253,80,100,428000,360,7.5,CA,626,OO,ARM
254,90,90,50400,360,9.8,PA,652,IO,ARM
255,77.21,77.21,332000,480,7,NY,604,OO,ARM
256,75,75,69750,360,8.9,WI,505,OO,Fix
257,80,100,222240,360,8.75,NJ,652,OO,ARM
258,80,80,91200,360,7.75,IN,622,IO,ARM
259,90,90,94140,480,8.95,NC,550,OO,ARM
260,90,90,202860,360,8.15,OR,539,OO,ARM
261,90,90,116100,360,9.99,MI,626,IO,ARM
262,90,95,63000,360,9.05,PA,621,IO,ARM
263,60,60,159600,360,9.75,GA,544,OO,ARM
264,85,100,59500,360,10.4,MI,615,OO,ARM
265,80.89,80.89,118100,360,6.875,GA,765,IO,Fix
266,80,100,149600,360,8.4,UT,650,OO,ARM
267,89.33,89.33,67000,360,7.55,MI,652,OO,Fix
268,83.58,83.58,111000,360,7.85,IN,668,OO,ARM
269,90,90,157860,360,7.6,FL,659,OO,Fix
270,68.35,68.35,108000,360,8.5,TX,562,OO,Fix
271,90,90,258300,360,7.25,CA,652,OO,Fix
272,90,90,712260,360,7.925,HI,696,OO,ARM
273,90,90,298350,360,7.95,NV,639,OO,Fix
274,80,100,261632,480,7.55,NV,609,OO,ARM
275,80,100,212300,360,7,IN,637,OO,ARM
276,80,80,277600,480,8.425,WA,575,OO,ARM
277,80,100,224000,360,7.125,UT,627,OO,ARM
278,20,100,56000,360,11.45,CA,627,OO,Fix
279,84.5,84.5,338000,480,7.75,NY,623,OO,Fix
280,80,80,176000,360,7.35,NJ,605,OO,ARM
281,94.48,94.48,342000,480,7.675,NV,731,OO,ARM
282,80,100,200000,480,7.35,WA,621,OO,ARM
283,80,100,520000,360,6.5,CA,684,OO,ARM
284,95,95,180500,360,8,AZ,632,OO,ARM
285,90,90,182700,360,7.55,IL,610,OO,ARM
286,80,100,152000,360,8.75,MN,649,OO,ARM
287,62.09,62.09,65500,180,8.7,AR,570,OO,Fix
288,70,70,122500,480,7.75,IL,561,OO,ARM
289,68.18,68.18,300000,360,8.25,NY,515,OO,ARM
290,90,100,150300,360,8.75,FL,581,OO,ARM
291,90,90,382500,480,7.75,CA,638,OO,ARM
292,90,100,168750,360,7.45,MN,565,OO,ARM
293,90,90,279000,480,8.1,AZ,592,OO,ARM
294,80,100,385600,360,7.1,MD,603,OO,ARM
295,95,95,237500,360,7.8,CO,769,OO,Fix
296,44.12,44.12,225000,480,7,CA,578,OO,ARM
297,80,100,110400,480,7.1,IL,623,OO,ARM
298,92.41,92.41,268000,480,9.35,RI,647,OO,ARM
299,85,85,624750,360,8.99,CA,596,OO,ARM
300,100,100,302305,360,9.5,TX,590,OO,ARM
301,80,80,148000,480,9.6,FL,544,IO,ARM
302,89.96,89.96,206000,360,8.4,FL,515,OO,ARM
303,56.31,56.31,290000,480,8.225,FL,629,OO,Fix
304,80,100,255440,480,8.4,NJ,642,OO,ARM
305,84.92,84.92,267500,360,9.3,FL,545,OO,ARM
306,95,95,229900,360,8.8,IL,617,OO,ARM
307,80,100,598800,360,7.1,CA,643,OO,ARM
308,80,100,332000,360,7.99,CA,670,OO,ARM
309,90,90,189000,360,8.7,PA,569,OO,Fix
310,81.78,81.78,198000,360,7.625,CA,610,OO,ARM
311,95,95,147250,480,9.65,WI,597,OO,ARM
312,85,85,193800,360,8.5,KS,661,OO,Fix
313,72.73,72.73,320000,480,9.25,NJ,637,OO,ARM
314,57.36,57.36,152000,360,8.1,NJ,538,OO,ARM
315,57.2,57.2,210500,360,6.95,MD,640,OO,ARM
316,89.4,89.4,82250,360,7.75,PA,706,OO,Fix
317,20,100,38200,360,9.85,MN,611,OO,Fix
318,77.98,77.98,170000,360,7.25,FL,588,OO,Fix
319,85,85,93500,360,9.05,IL,507,OO,ARM
320,94.99,94.99,252985,360,7.09,LA,621,OO,ARM
321,80,100,160000,360,8.1,FL,651,OO,ARM
322,80,100,163200,480,6.75,DE,652,OO,ARM
323,20,100,46000,360,11.5,NJ,621,OO,Fix
324,20,100,53800,360,11.99,MA,640,OO,Fix
325,90,90,140400,360,8.7,OH,563,OO,Fix
326,80,100,257600,360,7.85,FL,632,OO,ARM
327,20,100,45000,360,9.55,MN,637,OO,Fix
328,80,100,316000,360,8.25,IL,675,OO,ARM
329,90,90,124200,360,9.7,IL,553,OO,ARM
330,80,80,198400,480,7.85,AZ,652,OO,ARM
331,80,80,244000,360,7.05,NJ,571,OO,ARM
332,80,100,377360,360,8.35,NY,662,OO,ARM
333,95,95,107350,360,7.125,NY,742,OO,Fix
334,90,90,315000,360,7.75,CA,666,IO,ARM
335,63.83,63.83,150000,360,7.35,NV,622,OO,Fix
336,95,95,152000,360,9.65,IL,593,OO,ARM
337,80,100,217200,480,8.55,TX,614,OO,ARM
338,90,90,64800,360,11.1,AL,632,IO,Fix
339,70.77,70.77,92000,360,8.5,FL,531,OO,ARM
340,90,90,74250,360,8.975,LA,626,IO,Fix
341,80,100,180800,480,8.2,AZ,676,OO,ARM
342,80,100,87200,360,8.9,TX,601,OO,ARM
343,95,100,641250,360,8.5,CA,642,OO,ARM
344,90,90,180000,360,8,NC,540,OO,ARM
345,73.76,73.76,80400,360,10,TX,538,OO,Fix
346,75,75,378750,480,7.85,NY,577,OO,ARM
347,95,95,161500,360,10.9,MO,565,OO,ARM
348,90,99.39,267300,360,8.1,FL,538,OO,ARM
349,80,80,112000,360,9.375,WI,529,OO,ARM
350,90,90,477000,480,9.25,NY,562,OO,ARM
351,76.89,76.89,223750,360,8.6,MN,579,OO,ARM
352,80,95,77600,480,7,MO,578,OO,ARM
353,78.62,96.83,114000,480,8.9,MI,518,OO,ARM
354,90,90,153000,360,9.1,MO,553,OO,ARM
355,89.81,89.81,238000,360,9.15,FL,533,OO,ARM
356,90,90,103500,480,9.675,MI,572,OO,ARM
357,90,100,202500,360,8.7,MO,562,OO,ARM
358,80,100,148000,360,7.85,IL,603,OO,ARM
359,90,90,85500,240,9.5,NC,665,IO,Fix
360,95,95,141550,360,8.4,OK,603,OO,ARM
361,85,85,110500,360,7.95,LA,632,OO,Fix
362,90,90,103500,360,6.75,PA,721,OO,Fix
363,80,100,138400,360,9.275,FL,641,OO,ARM
364,80,99.83,510880,360,7.975,CA,603,OO,ARM
365,90,90,214200,480,7.6,CO,602,OO,ARM
366,90,90,238500,360,9.2,CT,619,OO,ARM
367,95,95,115187,480,10.2,UT,663,IO,ARM
368,80,100,238400,360,8.75,NJ,675,OO,ARM
369,90,90,222300,360,7.75,FL,633,IO,ARM
370,80,100,168000,480,8.1,AZ,613,OO,ARM
371,80,100,316000,480,7.35,CA,632,OO,ARM
372,90,92.44,184500,360,9.275,CO,548,OO,ARM
373,73.65,73.65,394000,360,6.9,NJ,609,OO,ARM
374,69.92,69.92,409000,360,9.99,CA,540,OO,ARM
375,90,90,274500,480,9.25,CA,595,OO,ARM
376,59.64,59.64,164000,360,7.95,WA,625,OO,Fix
377,80,80,62400,360,8.25,TX,586,OO,Fix
378,80,100,320000,240,8.925,IL,652,OO,ARM
379,85,85,236300,360,9.95,FL,533,OO,ARM
380,85.03,85.03,125000,360,7.8,MD,645,OO,ARM
381,80,100,86320,360,8.735,TX,669,OO,ARM
382,20,100,67000,360,12.15,CO,618,OO,Fix
383,78.62,78.62,228000,360,9.275,MA,612,OO,ARM
384,64.75,64.75,259000,360,6.987,CA,645,OO,ARM
385,80,80,164000,360,9.05,MI,585,OO,ARM
386,83.15,83.15,370000,360,7.45,AZ,604,OO,ARM
387,85,100,80750,360,8.3,OH,605,OO,Fix
388,85,100,51000,360,8.45,LA,566,OO,ARM
389,95,95,247000,360,8.45,NJ,615,OO,ARM
390,85,85,51000,360,9.99,PA,592,IO,ARM
391,82.54,82.54,284750,360,9.1,NJ,504,OO,ARM
392,95,95,133000,480,9.8,PA,715,IO,ARM
393,70,70,153300,360,7.9,CA,505,OO,ARM
394,79.49,79.49,188000,360,7.875,FL,571,OO,ARM
395,47.17,47.17,50000,360,7.775,TX,624,OO,Fix
396,80,100,268388,360,6.99,CA,665,OO,ARM
397,72.59,72.59,490000,360,7.25,MD,534,OO,ARM
398,80,100,220000,480,7.9,FL,609,OO,ARM
399,73.17,73.17,180000,360,8.99,NH,532,OO,ARM
400,90,90,322200,360,7.65,RI,623,OO,ARM
401,78.82,78.82,335000,360,8.4,IL,582,OO,ARM
402,90,100,630000,480,9.9,CA,598,OO,ARM
403,85,85,155975,360,9.75,IL,618,IO,ARM
404,80,100,266000,480,8.25,CA,643,OO,ARM
405,20,100,23000,360,12.55,FL,652,OO,Fix
406,100,100,210000,360,10.75,TX,596,OO,Fix
407,80,100,100000,480,7.35,SC,647,OO,ARM
408,75,75,85500,360,11.2,TX,509,OO,ARM
409,79.11,79.11,145000,360,8,IL,607,OO,Fix
410,95,95,156750,480,9.65,FL,616,OO,ARM
411,20,100,80400,360,12.8,IL,643,OO,Fix
412,90,90,202500,360,7.65,FL,662,OO,Fix
413,80,100,280000,480,7.25,CA,601,OO,ARM
414,73.21,73.21,205000,360,8.75,CA,504,OO,ARM
415,88.13,88.13,423000,360,7.99,CA,619,OO,ARM
416,73.91,73.91,255000,360,7.887,NJ,590,OO,ARM
417,68.97,68.97,100000,360,8.7,WA,522,OO,Fix
418,90,90,158130,360,6.75,PA,761,OO,ARM
419,80,100,252000,360,7.4,MD,605,OO,ARM
420,80,80,76000,360,10,ID,603,OO,ARM
421,20,100,23600,360,12.2,OK,604,OO,Fix
422,88.66,88.66,297000,360,9.05,IL,587,OO,ARM
423,80,100,287200,480,7.25,CA,618,OO,ARM
424,95,95,318250,360,7.85,AL,624,OO,Fix
425,90,90,185400,480,8.75,IN,580,OO,ARM
426,20,100,38400,360,12,AZ,681,OO,Fix
427,80,80,95200,360,10.15,OH,526,OO,Fix
428,90,90,105300,360,8.4,OH,647,OO,ARM
429,85,100,204000,360,9.05,TN,501,OO,ARM
430,90,90,81000,360,9.1,OH,629,IO,ARM
431,75,75,270000,360,9.45,CA,518,OO,ARM
432,90,90,271800,360,9.45,TX,582,OO,ARM
433,50,50,50000,180,8.45,FL,627,OO,Fix
434,80,80,320000,480,7.45,CO,604,OO,ARM
435,79.86,79.86,115000,360,9.25,TX,613,OO,ARM
436,90,100,126000,360,10.2,TX,527,OO,ARM
437,80,100,312000,360,6.9,CA,610,OO,ARM
438,80,100,231200,480,7.5,MD,642,OO,ARM
439,80.46,80.46,70000,240,7.45,FL,598,OO,Fix
440,90,90,234000,360,11.4,MI,558,OO,ARM
441,77.37,77.37,335000,360,8.45,FL,532,OO,ARM
442,80,100,400000,360,7.65,NY,651,OO,ARM
443,85,85,93500,360,8.55,MO,531,OO,ARM
444,84.65,84.65,182000,360,8.625,FL,601,OO,Fix
445,80,100,228000,360,7.5,FL,625,OO,ARM
446,95,95,156750,480,8.35,NJ,606,OO,ARM
447,95,95,102600,480,10.35,MI,603,OO,ARM
448,80,94.29,84000,360,10.85,NY,617,IO,Fix
449,90,90,184140,360,9.99,PA,588,IO,ARM
450,80,80,344000,360,7.25,TX,559,OO,ARM
451,95,100,50065,360,9.475,MO,609,OO,ARM
452,80,80,356000,480,7.99,FL,580,OO,ARM
453,80,80,208800,480,7.35,NJ,558,OO,ARM
454,80,100,180000,480,8.45,CT,655,OO,ARM
455,90,90,77850,360,9.5,PA,542,OO,ARM
456,72.05,72.05,91500,360,9.45,MO,548,OO,ARM
457,89.23,89.23,116000,480,8.2,MD,644,OO,Fix
458,90,90,144000,360,9.05,IL,537,OO,ARM
459,95,95,480690,480,10.25,NV,630,OO,ARM
460,81.97,81.97,470000,360,7.5,FL,665,OO,Fix
461,31.25,31.25,65000,360,8.35,NV,591,OO,Fix
462,85.65,85.65,240325,360,6.99,WA,749,OO,Fix
463,80.16,80.16,333944,360,8.25,MA,649,OO,ARM
464,20,100,59000,360,11.2,CA,628,OO,Fix
465,90,90,252000,360,9.25,CA,626,IO,ARM
466,90,90,324000,480,8.3,MI,560,OO,ARM
467,90,90,121506,360,9.52,TX,514,OO,ARM
468,80,80,64000,360,8.775,PA,575,OO,ARM
469,85,100,113900,360,9.475,FL,511,OO,ARM
470,73.62,73.62,173000,480,6.9,FL,571,OO,ARM
471,90,90,117000,360,10.53,KS,636,IO,ARM
472,90,90,194400,480,11.2,AZ,606,IO,ARM
473,80,100,492000,480,7.45,CA,686,OO,ARM
474,89.6,89.6,112000,360,9.9,IL,549,OO,ARM
475,85,85,251515,360,8.225,TX,540,OO,Fix
476,90,90,86580,360,8.8,MD,714,IO,ARM
477,90,90,540000,480,7.25,MD,620,OO,ARM
478,80,100,138000,360,7.2,MD,641,OO,ARM
479,90,90,65250,360,9.25,OK,623,IO,ARM
480,90,90,76950,360,9.9,PA,639,IO,Fix
481,80,100,208000,360,8.5,FL,621,OO,ARM
482,79.31,79.31,460000,360,8,NY,619,OO,ARM
483,88.64,88.64,117000,360,8.35,TX,655,OO,Fix
484,90,100,294300,360,9.15,NV,574,OO,ARM
485,80,100,242400,480,9.15,CA,750,OO,ARM
486,85,85,493000,480,8.7,CA,572,OO,ARM
487,80,100,135200,360,7.25,IN,628,OO,ARM
488,90,90,117000,360,10.15,AZ,572,OO,ARM
489,80,100,388000,360,7.05,NJ,658,OO,ARM
490,84.75,84.75,99239,360,10.45,NY,659,OO,Fix
491,90,90,170100,360,8.125,IA,703,OO,Fix
492,95,95,184300,480,11.3,FL,613,OO,ARM
493,95,95,546791,360,8.45,FL,654,OO,ARM
494,80,100,151040,360,7.7,UT,621,OO,ARM
495,85,85,74375,360,6.99,OK,711,IO,Fix
496,89.57,89.57,146000,360,9.375,FL,602,OO,ARM
497,95,95,460750,480,8.45,CA,611,OO,ARM
498,90,90,189000,360,8.3,FL,693,IO,ARM
